entity	num_rows	num_columns
survey	2364	151
method_group	15	3
sample_type	1	6
identification_level	6	5
cultural_group	2	3
chronological_period	1	4
epoch	8	4
master_dataset	1	7
modification_type	5	6
site_coordinate	7	9
taxa	220	16
natural_region_group	1	3
natural_region	1	4
site	7	14
sample_group	186	13
feature_type	186	9
taxa_briemle_characteristics	220	7
contact	27	4
location_type	5	5
remain_type_group	5	3
remain_type	30	4
location	24	4
site_location	35	7
taxa_use_categories	220	12
eco_groups	22	4
taxa_dominance	220	5
feature_property_type	7	6
taxa_persistence	220	6
natural_sub_region	1	4
contact_type	5	5
method	8	8
sample_description_type	11	5
coordinate_method_dimension	5	7
site_natural_region	7	6
dimensions	43	3
archaeological_period	17	4
taxa_oberdorfer_characteristics	220	14
site_type_group	4	6
site_type	6	7
site_site_type	8	7
site_property_type	5	4
site_property	32	7
taxa_plant_sociological_behaviour	227	17
feature	186	7
feature_property	1302	6
sample	246	10
dating	246	7
sample_archaeological_period	2170	9
sample_description	3146	7
sample_coordinate	1230	7
sample_cultural_group	246	6
sample_method	1968	7
sample_chronological_period	2170	9
sample_taxa	2364	6
project	7	8
sample_sample_type	246	8
taxa_ecological_behaviour	241	19
dataset	8	9
result	2364	15
